Sample_ID,Distance_um,Sr8786_norm,SrV,SrV notes,Escap_yr
WR07-01,7.101,0.708129,1.12,,2007
WR07-01,54.44,0.70771,1,,2007
WR07-01,114.29,0.706856,0.94,,2007
WR07-01,169.406,0.705834,0.98,,2007
WR07-01,235.004,0.705551,0.8,,2007
WR07-01,289.782,0.704769,0.75,,2007
WR07-01,350.61,0.705056,0.71,,2007
WR07-01,357.747,0.704569,0.67,,2007
WR07-01,412.863,0.704417,0.65,,2007
WR07-01,476.432,0.704432,0.63,,2007
WR07-01,532.225,0.704658,0.59,,2007
WR07-01,597.147,0.704807,0.57,,2007
WR07-01,613.603,0.70491,0.56,,2007
WR07-01,660.716,0.705605,0.62,,2007
WR07-01,679.007,0.706589,0.62,,2007
WR07-01,722.595,0.708544,1.41,,2007
WR07-01,784.474,0.709074,1.72,,2007
WR07-01,785.474,0.709074,1.72,extra,2007
WR07-02,30.793,0.70757,1.05,,2007
WR07-02,90.793,0.707121,0.9,,2007
WR07-02,150.793,0.706338,0.83,,2007
WR07-02,210.793,0.706323,0.96,,2007
WR07-02,270.793,0.705007,0.98,,2007
WR07-02,330.793,0.704945,0.95,,2007
WR07-02,390.793,0.704886,0.86,,2007
WR07-02,510.793,0.705199,0.84,,2007
WR07-02,570.793,0.707603,1.04,,2007
WR07-02,630.793,0.708917,0.98,,2007
WR07-02,690.793,0.708635,0.96,,2007
WR07-02,750.793,0.708574,1.62,,2007
WR07-02,810.793,0.708968,2.53,,2007
WR07-02,870.793,0.709112,2.39,,2007
WR07-03,60,0.707338,0.86,,2007
WR07-03,120,0.706476,0.81,,2007
WR07-03,180,0.706001,0.84,,2007
WR07-03,240,0.705095,0.89,,2007
WR07-03,300,0.705236,0.81,,2007
WR07-03,360,0.705405,0.65,,2007
WR07-03,390,0.705819,0.73,,2007
WR07-03,420,0.706221,0.67,,2007
WR07-03,450,0.707376,0.65,,2007
WR07-03,480,0.707183,0.68,,2007
WR07-03,510,0.707365,1.17,,2007
WR07-03,540,0.707424,0.72,remove,2007
WR07-03,570,0.707502,0.88,remove,2007
WR07-03,600,0.708129,1.2,,2007
WR07-03,660,0.708948,1.55,,2007
WR07-03,720,0.709189,1.7,,2007
WR07-04,76.08,0.707258,0.91,,2007
WR07-04,144.384,0.706828,0.84,,2007
WR07-04,202.543,0.705978,0.83,,2007
WR07-04,261.04,0.705324,0.85,,2007
WR07-04,328.329,0.705134,1.11,,2007
WR07-04,385.812,0.705513,1.11,,2007
WR07-04,449.72,0.705348,1.06,,2007
WR07-04,513.627,0.705011,0.96,,2007
WR07-04,568.405,0.705134,0.9,,2007
WR07-04,627.579,0.705293,0.78,,2007
WR07-04,654.677,0.705279,1.09,,2007
WR07-04,685.062,0.706633,0.94,,2007
WR07-04,716.268,0.707476,1.06,,2007
WR07-04,744.574,0.708685,0.8,,2007
WR07-04,804.424,0.708184,1.11,,2007
WR07-04,872.051,0.708485,0.97,,2007
WR07-04,925.814,0.708329,1.56,,2007
WR07-04,989.045,0.708676,2.42,,2007
WR07-04,1050.248,0.709362,2.26,,2007
WR07-04,1107.393,0.709177,2.46,,2007
WR07-05,13.187,0.708049,1.26,,2007
WR07-05,73.713,0.707542,1.11,,2007
WR07-05,131.873,0.706851,1.08,,2007
WR07-05,194.428,0.705515,0.96,,2007
WR07-05,247.177,0.70481,0.99,,2007
WR07-05,312.775,0.70477,0.87,,2007
WR07-05,431.46,0.705523,0.62,,2007
WR07-05,488.943,0.704814,0.7,,2007
WR07-05,554.88,0.705057,0.77,,2007
WR07-05,614.73,0.707131,1.15,,2007
WR07-05,676.27,0.708542,1.59,,2007
WR07-05,723.609,0.708955,1.77,,2007
WR07-05,792.589,0.708761,1.86,,2007
WR07-05,856.834,0.708899,1.83,,2007
WR07-05,913.979,0.709196,1.85,,2007
WR07-07,12.511,0.707692,0.73,,2007
WR07-07,76.419,0.706711,0.54,,2007
WR07-07,125.11,0.706039,0.54,,2007
WR07-07,181.917,0.705229,0.53,,2007
WR07-07,246.162,0.705282,0.58,,2007
WR07-07,274.191,0.705523,0.51,,2007
