Year,Sample Number,CWT Code
2005,510085,51974
2005,510097,51298
2005,510101,200000
2005,510114,51296
2005,510115,51364
2005,510140,
2005,510145,
2005,510148,51985
2005,510155,
2005,510159,51290
2005,510170,
2005,510171,
2005,510194,
2005,510199,
2005,510201,
2005,510202,51282
2005,510207,
2005,510217,
2005,510220,
2005,510225,
2005,510227,
2005,510241,
2005,510253,
2005,510267,
2005,510274,
2005,510279,
2005,510281,
2005,510293,
2005,510301,
2005,510304,
2005,510309,
2005,510312,
2005,510314,
2005,510345,
2005,510353,
2005,510356,
2005,510363,
2005,510364,
2005,510370,100000
2005,510373,51278
2005,510375,51372
2005,510403,
2005,510411,
2005,510430,51366
2005,510455,51282
2005,510456,51293
2005,510464,53737
2005,510501,51974
2005,510502,51996
2005,510556,51366
2005,510566,51369
2005,510570,51996
2005,510743,51996
2005,510775,51371
2005,510807,51277
2005,510857,51291
2005,510879,
2005,510891,51984
2005,510899,51973
2005,510907,51997
2005,515004,51290
2005,515014,51297
2005,515079,
2005,515128,100000
2005,515177,
2005,515192,
2005,515221,51277
2005,515224,
2005,515286,
2005,515289,
2005,515340,
2005,515362,
2005,515378,
2005,515413,
2005,515421,
2005,515426,51366
2005,515451,51290
2005,515458,51995
2005,515489,100000
2005,515517,51984
2005,515528,
2005,515550,51285
2005,515582,
2005,515591,51366
2005,515608,
2005,515626,51996
2005,515702,51977
2005,515707,
2005,515708,
2005,515718,51294
2005,515722,
2005,515732,
2005,515733,51974
2005,515737,
2005,515753,51972
2005,515754,51281
2005,515771,
2005,515802,51288
2005,515803,100000
2005,515814,
2005,515820,
2005,515827,51974
2005,515895,
2005,515927,51974
2005,515967,53737
2005,516049,100000
2005,516050,
2005,516140,51974
2005,516164,
2005,516166,51997
2005,516169,51991
2005,516215,51988
2005,516216,
2005,516243,
2005,516252,51973
2005,516281,
2005,516333,51278
2005,540001,
2005,540002,
2005,540003,
2005,540004,
2005,540005,
2005,540006,
2005,540007,
2005,540008,
2005,540009,
2005,540010,
2005,540011,
2005,540012,
2005,540013,
2005,540014,
2005,540015,
2005,540016,
2005,540017,
2005,540018,
2005,540022,
2005,540023,
2005,540024,
2005,540026,
2005,540027,
2005,540028,
2005,540029,
2005,540030,
2005,540031,
2005,540032,
2005,540033,
2005,540043,
2005,540044,
2005,540045,
2005,540049,
2005,540051,
2005,540052,
2005,540053,
2005,540054,
2005,540055,
2005,540056,
2005,540057,
2005,540058,
2005,540059,
2005,540060,
2005,540061,
2005,540062,
2005,540063,
2005,540064,
2005,540065,
2005,540066,
2005,540067,
2005,540068,
2005,540069,
2005,540070,
2005,540071,
2005,540072,
2005,540073,
2005,540076,
2005,540077,
2005,540078,
2005,540079,
2005,540080,
2005,540081,
2005,540082,
2005,540083,
2005,540084,
2005,540085,
2005,540086,
2005,540087,
2005,540088,
2005,540089,
2005,540110,
2005,540111,
2005,540112,
2005,540113,
2006,2107,
2006,2109,
2006,10002,51993
2006,10009,51371
2006,10027,51993
2006,10029,
2006,10049,
2006,10053,51993
2006,10061,51285
2006,10065,51993
2006,10070,
2006,10081,
2006,10085,
2006,10091,
2006,10092,51970
2006,10101,
2006,10111,
2006,10116,51994
2006,10121,
2006,10132,
2006,10136,51993
2006,10143,
2006,10144,51371
2006,10148,
2006,10152,
2006,10157,
2006,10161,
2006,10165,100000
2006,10169,
2006,10171,51993
2006,10173,
2006,10177,51679
2006,10181,
2006,10185,51987
2006,10189,
2006,10193,51991
2006,10194,51971
2006,10197,
2006,10201,51995
2006,10205,
2006,10208,51987
2006,10209,51995
2006,10213,51978
2006,10217,
2006,10221,51981
2006,10225,
2006,10229,
2006,10230,51997
2006,10233,51980
2006,10237,51991
2006,10239,51276
2006,10241,100000
2006,10245,
2006,10249,51984
2006,10250,51966
2006,10253,51993
2006,10257,
2006,10263,
2006,10267,51994
2006,10272,
2006,10275,51966
2006,10278,
2006,10281,51993
2006,10284,
2006,10287,
2006,10290,
2006,10293,100000
2006,10296,
2006,10299,
2006,10302,51980
2006,10307,51974
2006,10310,
2006,10315,
2006,10316,51979
2006,10319,
2006,10322,
2006,10326,51994
2006,10330,51968
2006,10334,
2006,10340,51993
2006,10342,51366
2006,10343,51977
2006,10346,
2006,10354,51980
2006,10359,51969
2006,10360,
2006,10363,
2006,10366,
2006,10373,
2006,10375,
2006,10378,100000
2006,10381,
2006,10386,
2006,10387,51965
2006,10390,51970
2006,10396,51298
2006,10397,
2006,10399,
2006,10402,51975
2006,10405,51679
2006,10407,51992
2006,10410,
2006,10412,
2006,10414,
2006,10416,
2006,10418,
2006,10420,
2006,10424,
2006,10427,51995
2006,10428,51968
2006,10429,
2006,10431,
2006,10433,
2006,10436,51993
2006,10441,51979
2006,10443,51991
2006,10445,100000
2006,10448,
2006,10450,
2006,10455,100000
2006,10460,51967
2006,10462,51276
2006,10465,
2006,10471,51679
2006,10473,
2006,10477,
2006,10481,51996
2006,10483,51965
2006,10485,
2006,10489,
2006,10490,51966
2006,10493,
2006,10497,
2006,10504,
2006,10507,
2006,10509,51968
2006,10514,
2006,10517,
2006,10519,
2006,10522,51970
2006,10525,
2006,10528,
2006,10533,
2006,10537,51978
2006,10540,
2006,10542,
2006,10544,
2006,10549,
2006,10551,
2006,10556,100000
2006,10559,
2006,10561,
2006,10563,51279
2006,10567,
2006,10569,
2006,10570,
2006,10571,
2006,10573,
2006,10577,
2006,10578,51996
2006,10579,
2006,10586,
2006,10589,
2006,10592,
2006,10594,
2006,10596,51974
2006,10598,
2006,10603,100000
2006,10607,
2006,10609,51977
2006,10613,
2006,10618,
2006,10623,
2006,10625,
2006,10627,
2006,10630,
2006,10633,51298
2006,10636,
2006,10639,
2006,10641,
2006,10643,51997
2006,10645,
2006,10646,
2006,10647,
2006,10648,51997
2006,10650,
2006,10653,51995
2006,10655,
2006,10658,
2006,10664,
2006,10666,
2006,10671,51964
2006,10672,51975
2006,10675,
2006,10678,
2006,10681,
2006,10683,
2006,10685,
2006,10687,51993
2006,10689,51976
2006,10693,
2006,10697,400000
2006,10702,100000
2006,10706,
2006,10708,
2006,10710,
2006,10712,51997
2006,10715,
2006,10718,
2006,10721,100000
2006,10723,
2006,10724,51988
2006,10725,51975
2006,10728,
2006,10733,51964
2006,10735,
2006,10736,
2006,10737,51992
2006,10740,51995
2006,10742,
2006,10744,400000
2006,10747,
2006,10750,51991
2006,10753,
2006,10757,51997
2006,10761,51970
2006,10763,
2006,10767,
2006,10769,
2006,10771,
2006,10774,
2006,10777,
2006,10779,51973
2006,10781,51992
2006,10783,
2006,10784,51967
2006,10785,
2006,10787,
2006,10791,
2006,10793,
2006,10796,
2006,10812,51970
2006,10842,
2006,10845,
2006,10847,
2006,10848,
2006,10849,
2006,10855,
2006,10856,51996
2006,10857,
2006,10860,51972
2006,10865,
2006,10867,
2006,10869,
2006,10871,
2006,10873,51976
2006,10878,51970
2006,10880,51995
2006,10882,
2006,10889,
2006,10891,
2006,10892,
2006,10893,
2006,10901,
2006,10903,51972
2006,10905,
2006,10907,
2006,10911,51997
2006,10912,51997
2006,10913,51976
2006,10919,
2006,10921,
2006,10923,
2006,10930,
2006,10935,51977
2006,10937,51995
2006,10939,
2006,10944,51995
2006,10946,51986
2006,10949,
2006,10951,51990
2006,10952,51978
2006,10959,
2006,10963,
2006,10964,
2006,10965,
2006,10967,
2006,10969,
2006,10971,51997
2006,10972,51975
2006,10973,
2006,10975,
2006,10979,
2006,10981,
2006,10994,51978
2006,10998,
2006,11001,51995
2006,11003,51973
2006,11010,100000
2006,11015,
2006,11016,51997
2006,11017,100000
2006,11019,
2006,11025,
2006,11032,
2006,11079,
2006,11083,51986
2006,11086,51996
2006,11090,51986
2006,11095,
2006,11101,
2006,11102,51990
2006,11107,
2006,11111,
2006,11113,
2006,11120,51972
2006,15010,51993
2006,15029,51371
2006,15038,51366
2006,15043,
2006,15047,
2006,15065,
2006,15071,
2006,15078,
2006,15088,
2006,15091,51994
2006,15099,
2006,15103,51679
2006,15104,
2006,15108,
2006,15112,
2006,15116,51965
2006,15120,
2006,15126,51965
2006,15128,
2006,15131,51293
2006,15132,100000
2006,15135,51991
2006,15140,
2006,15144,
2006,15148,51985
2006,15149,51984
2006,15152,
2006,15156,
2006,15160,
2006,15164,51974
2006,15168,
2006,15173,
2006,15177,
2006,15182,51968
2006,15186,51996
2006,15190,
2006,15193,51993
2006,15194,
2006,15198,
2006,15201,51997
2006,15202,
2006,15206,
2006,15210,51995
2006,15211,51995
2006,15214,51990
2006,15226,51995
2006,15232,51371
2006,15234,
2006,15237,
2006,15240,51994
2006,15244,
2006,15247,
2006,15250,
2006,15253,
2006,15256,
2006,15260,
2006,15265,51968
2006,15268,
2006,15271,
2006,15274,
2006,15277,
2006,15280,51984
2006,15282,51965
2006,15283,
2006,15286,
2006,15289,
2006,15292,
2006,15296,
2006,15300,200000
2006,15303,51287
2006,15305,
2006,15310,
2006,15313,51993
2006,15317,
2006,15320,
2006,15322,51983
2006,15323,
2006,15326,
2006,15329,
2006,15334,
2006,15339,51982
2006,15342,
2006,15344,51991
2006,15345,
2006,15357,
2006,15375,
2006,15377,
2006,15379,
2006,15382,51991
2006,15386,51967
2006,15388,
2006,15390,
2006,15392,51988
2006,15394,
2006,15395,51994
2006,15396,
2006,15397,51371
2006,15398,
2006,15401,
2006,15403,
2006,15406,
2006,15408,51977
2006,15411,
2006,15415,
2006,15417,51988
2006,15418,51972
2006,15419,
2006,15421,
2006,15423,
2006,15425,51997
2006,15427,51973
2006,15429,51977
2006,15431,51968
2006,15433,51997
2006,15434,51981
2006,15435,
2006,15437,51974
2006,15439,51971
2006,15442,51969
2006,15444,
2006,15446,
2006,15448,
2006,15450,
2006,15452,
2006,15456,51965
2006,15458,
2006,15459,51994
2006,15463,
2006,15466,
2006,15469,51966
2006,15470,51370
2006,15471,
2006,15474,
2006,15478,51968
2006,15480,
2006,15482,
2006,15484,
2006,15486,51974
2006,15489,51984
2006,15491,51980
2006,15494,51966
2006,15496,
2006,15498,51965
2006,15501,
2006,15503,
2006,15505,
2006,15508,
2006,15510,
2006,15511,51991
2006,15512,51372
2006,15514,51983
2006,15517,
2006,15520,
2006,15522,
2006,15524,
2006,15525,51967
2006,15526,51993
2006,15528,
2006,15529,
2006,15531,
2006,15533,51985
2006,15534,51977
2006,15535,51976
2006,15536,51988
2006,15537,
2006,15538,51993
2006,15539,51983
2006,15541,
2006,15542,
2006,15543,100000
2006,15546,
2006,15547,
2006,15548,
2006,15550,
2006,15551,51967
2006,15554,51993
2006,15557,
2006,15558,51994
2006,15559,
2006,15561,51981
2006,15564,
2006,15566,
2006,15568,
2006,15571,
2006,15573,51976
2006,15574,51997
2006,15575,
2006,15577,51980
2006,15579,51991
2006,15585,
2006,15587,
2006,15588,
2006,15590,
2006,15592,
2006,15594,51971
2006,15597,
2006,15598,
2006,15599,
2006,15600,
2006,15601,
2006,15602,
2006,15603,51993
2006,15605,51977
2006,15612,
2006,15614,51983
2006,15616,
2006,15618,
2006,15621,
2006,15624,
2006,15626,
2006,15627,
2006,15628,
2006,15632,
2006,15635,
2006,15636,51997
2006,15637,51298
2006,15640,
2006,15641,51975
2006,15642,
2006,15643,51964
2006,15645,
2006,15646,
2006,15647,
2006,15648,
2006,15649,
2006,15650,
2006,15655,
2006,15657,
2006,15660,
2006,15662,51983
2006,15666,100000
2006,15672,51995
2006,15675,
2006,15677,
2006,15680,
2006,15685,
2006,15688,
2006,15690,
2006,15694,
2006,15696,
2006,15698,
2006,15699,51972
2006,15700,51996
2006,15702,51985
2006,15703,51972
2006,15706,
2006,15711,51994
2006,15714,
2006,15716,
2006,15720,
2006,15722,
2006,15723,
2006,15725,
2006,15727,
2006,15728,
2006,15729,51975
2006,15730,51967
2006,15731,51988
2006,15733,
2006,15734,51978
2006,15740,
2006,15744,
2006,15746,51984
2006,15749,51966
2006,15751,51988
2006,15752,
2006,15753,
2006,15754,51976
2006,15757,51982
2006,15759,
2006,15761,51989
2006,15765,51982
2006,15767,
2006,15769,
2006,15774,
2006,15777,
2006,15780,
2006,15783,
2006,15785,
2006,15788,51983
2006,15789,51979
2006,15790,
2006,15792,
2006,15794,
2006,15796,51975
2006,15798,
2006,15800,51975
2006,15801,
2006,15803,
2006,15804,
2006,15806,
2006,15808,
2006,15812,51995
2006,15814,
2006,15816,51972
2006,15818,
2006,15821,
2006,15823,
2006,15824,
2006,15825,51996
2006,15826,
2006,15828,
2006,15829,51982
2006,15832,
2006,15835,100000
2006,15837,100000
2006,15839,
2006,15844,
2006,15848,
2006,15850,200000
2006,15858,
2006,15860,
2006,15862,
2006,15864,
2006,15867,
2006,15871,100000
2006,15874,
2006,15876,51989
2006,15877,51967
2006,15883,
2006,15885,
2006,15886,
2006,15890,
2006,15895,51989
2006,15900,
2006,15903,
2006,15905,
2006,15907,51973
2006,15910,
2006,15912,51975
2006,15916,
2006,15920,
2006,15924,51982
2006,15925,
2006,15933,51994
2006,15936,51975
2006,15937,
2006,15942,
2006,15947,
2006,15953,
2006,15956,200000
2006,15959,
2006,15963,
2006,15964,51989
2006,16001,51972
2006,16007,
2006,16014,
2006,16019,51997
2006,16022,51973
2006,16025,
2006,16029,
2006,16066,
2006,16070,
2006,16074,
2006,16075,
2007,10007,
2007,10008,
2007,10009,
2007,10010,
2007,10012,
2007,10013,
2007,10014,
2007,10016,
2007,10017,51687
2007,10018,
2007,10019,
2007,10021,
2007,10022,
2007,10023,
2007,10025,
2007,10026,
2007,10027,
2007,10029,
2007,10030,
2007,10031,
2007,10033,
2007,10034,
2007,10035,
2007,10037,
2007,10038,
2007,10039,
2007,10043,
2007,10044,
