"Sample_ID","Enter_Size"
"EE19_5009",631
"EE19_5017",635
"EE19_5026",750
"EE19_5028",602
"EE19_5030",688
"EE19_5034",639
"EE19_5035",597
"EE19_5037",608
"EE19_5038",552
"EE19_5041",595
"EE19_5042",704
"EE19_5043",612
"EE19_5045",590
"EE19_5046",553
"EE19_5047",670
"EE19_5059",597
"EE19_5060",613
"EE19_5061",742
"EE19_5065",650
"EE19_5067",730
"EE19_5070",601
"EE19_5074",712
"EE19_5075",656
"EE19_5081",589
"EE19_5086",637
"EE19_5088",646
"EE19_5089",660
"EE19_5092",747
"EE19_5106",500
"EE19_5108",622
"EE19_5120",597
"EE19_5121",622
"EE19_5124",717
"EE19_5132",837
"EE19_5133",629
"EE19_5139",709
"EE19_5140",619
"EE19_5146",576
"EE19_5149",665
"EE19_5152",698
"EE19_5154",511
"EE19_5157",596
"EE19_5159",625
"EE19_5162",657
"EE19_5164",589
"EE19_5168",590
"EE19_5174",615
"EE19_5179",598
"EE19_5190",692
"EE19_5197",599
"EE19_5202",591
"EE19_5226",622
"EE19_5227",588
"EE19_5237",654
"EE19_5250",706
"EE19_5269",805
"EE19_5289",570
"EE19_5293",713
"EE19_5295",677
"EE19_5307",599
"EE19_5314",947
"EE19_5315",601
"EE19_5317",597
"EE19_5322",597
"EE19_5323",589
"EE19_5327",671
"EE19_5330",591
"EE19_5334",510
"EE19_5336",644
"EE19_5342",620
"EE19_5352",608
"EE19_5395",614
"EE19_5397",638
"EE19_5403",638
"EE19_5405",705
"EE19_5412",626
"EE19_5418",663
"EE19_5430",600
"EE19_5434",500
"EE19_5450",578
"EE19_5477",761
"EE19_5483",627
"EE19_5495",675
"EE19_5502",609
"EE19_5505",639
"EE19_5512",619
"EE19_5528",732
"EE19_5546",656
"EE19_5567",689
"EE19_5592",595
"EE19_5637",638
"EE19_5668",700
"EE19_5674",633
"EE19_5682",627
"EE19_5685",680
"EE19_5693",589
"EE19_5701",623
"EE19_5706",627
"EE19_5707",581
"EE19_5716",553
"EE19_5739",599
"EE19_5743",675
"EE19_5756",600
"EE19_5757",601
"EE19_5767",714
"EE19_5771",564
"EE19_5785",623
"EE19_5798",603
"EE19_5801",580
"EE19_5805",553
"EE19_5809",633
"EE19_5816",668
"EE19_5837",637
"EE19_5853",646
"EE19_5884",561
"EE19_5889",758
"EE19_5893",592
"EE19_5912",597
"EE19_5987",583
"EE19_6000",520
"EE19_6037",672
"EE19_6051",564
"EE19_6062",560
"EE19_7016",710
"EE19_7020",596
"EE19_7027",753
"EE19_7028",470
"EE19_7036",684
"EE19_7041",602
"EE19_7042",699
"EE19_7044",520
"EE19_7062",671
"EE19_7071",659
"EE19_7073",711
