Sample_ID,SrVbreak_adjusted,notes
WR15-5007,637.047,SrV should be earlier
WR15-7160,628.931,SrV should be earlier
EE19_5034,600,SrV should be earlier
WR15-7374,587.139,SrV should be earlier
EE19_7864,560,SrV should be earlier
WR18_5098,560,SrV should be earlier
WR18_7312,560,SrV error
WR08-73,548,SrV should be later
WR15-80227,536.959,SrV should be earlier
EE19_7096,520,SrV should be earlier
WR15-7120,519.714,SrV should be earlier
EE19_5805,480,SrV should be earlier
WR18_7139,480,Sr8786 should be earlier
WR15-80717,454.792,SrV should be earlier
WR17.8017,445.36,SrV should be earlier
EE19_9085,600,SrV should be earlier
