lab_id,Transect angle
EE19_5009,0
EE19_5017,13
EE19_5026,0
EE19_5028,4 (1-174); 0 (175-200)
EE19_5030,0
EE19_5034,0
EE19_5035,0
EE19_5037,0
EE19_5038,0
EE19_5041,0
EE19_5043,0
EE19_5046,0
WR18_5043,0
WR18_5047,5
WR18_5082,0
WR18_5084,0
WR18_5102,0
WR18_5116,0
WR18_5134,5
WR18_5139,0
WR18_5159,7
WR18_5168,0
WR18_5169,19
WR18_5177,2
WR18_5188,11
WR18_5192,15
WR18_5203,11
WR18_5205,19
WR18_5211,0
WR18_5219,14
WR18_5236,4
WR18_5241,0
WR18_5257,18
WR18_5258,12
WR18_5282,3
WR18_5286,0
WR18_5290,0
WR18_5291,0
WR18_5293,10
WR18_5294,15
WR18_5295,4
WR18_5296,0
WR18_5342,11
WR18_5343,0
WR18_5363,0
WR18_5365,2
WR18_5385,16
WR18_5390,3
WR18_5391,5
WR18_5393,0
WR18_5394,0
WR18_5430,0
WR18_5445,0
WR18_5462,0
WR18_5466,0
WR18_5467,13 (1-102); 2 (102-200)
WR18_5471,0
WR18_5480,0
WR18_5482,0
WR18_5484,7
WR18_5488,13 (1-175); 17 (176-200)
WR18_5607,25
WR18_7051,11
WR18_7073,0
WR18_7083,12
WR18_7085,21
WR18_7090,17 (1-111); 12 (112-200)
WR18_7121,0
WR18_7127,0 (1-145); 1 (146-200)
WR18_7139,0
WR18_7141,0
WR18_7143,10
WR18_7148,5
WR18_7171,11
WR18_7176,0
WR18_7177,10
WR18_7183,0
WR18_7184,0
WR18_7189,0
WR18_7191,2
WR18_7199,24
WR18_7200,0
WR18_7210,5
WR18_7222,0
WR18_7235,12
WR18_7239,10
WR18_7240,13
WR18_7244,11
WR18_7249,24
WR18_7253,2
WR18_7257,8
WR18_7262,0
WR18_7269,22
WR18_7271,0
WR18_7273,0
WR18_7279,0
WR18_7283,0
WR18_7284,0
WR18_7286,18
WR18_7310,5
WR18_7311,0
WR18_7312,0
WR18_7351,0
WR18_7362,8 (1-83); 27 (84-200)
WR18_7363,17
WR18_7384,0
WR18_7387,11
WR18_7414,0
WR18_7415,9
WR18_7416,0
WR18_7417,0
WR18_7423,2
WR18_7440,0
WR18_7444,0
WR18_7446,0
WR18_7452,18
WR18_7456,8
WR18_7468,7
WR18_7469,0
WR18_7471,14
WR18_7478,21
WR18_7480,0
WR18_7485,0
WR18_7504,16
WR18_7534,4
WR18_7535,0
WR18_7538,0
WR18_7560,7
WR18_7566,18
WR18_80024,18
WR18_80051,0
WR18_80057,0
WR18_80083,0
WR18_80112,0
WR18_80125,12
WR18_80153,14
WR18_80204,20
WR18_80230,6
WR18_80253,0
WR18_80345,14
WR18_80361,21
WR18_80445,0
WR18_80457,0
WR18_80486,0
WR18_80489,0
WR18_80610,0
WR18_80694,0
EE19_5047,14 (1-141); 24 (142-200)
EE19_5059,0
EE19_5060,0
EE19_5061,0
EE19_5067,0
EE19_5070,0
EE19_5075,29
EE19_5086,17
EE19_5088,0
EE19_5089,2
EE19_5106,2
EE19_5120,14
EE19_5121,13
EE19_5124,20
EE19_5133,0
EE19_5149,0
EE19_5158,0
EE19_5190,0
EE19_5159,7
EE19_5202,11
EE19_5162,0
EE19_5179,12
EE19_5227,2
EE19_5250,16
EE19_5269,0
EE19_5293,0
EE19_5295,0
EE19_5307,0
EE19_5314,0
EE19_5315,17
EE19_5317,19
EE19_5322,18
EE19_5323,14
EE19_5327,0
EE19_5330,24
EE19_5336,0
EE19_5395,0
EE19_5405,0
EE19_5418,0
EE19_5430,3
EE19_5450,0
EE19_5477,0
EE19_5483,30
EE19_5495,0
EE19_5502,13
EE19_5505,0
EE19_5528,0
EE19_5546,5
EE19_5567,23
EE19_5592,0
EE19_5637,5
EE19_5685,12
EE19_5693,19
EE19_5701,16
EE19_5706,19
EE19_5716,25
EE19_5743,19
EE19_5757,0
EE19_5767,0
EE19_5771,0
EE19_5785,0
EE19_5798,17
EE19_5801,28
EE19_5805,4
EE19_5816,15
EE19_5837,28
EE19_5884,5
EE19_5889,0
EE19_5912,0
EE19_5987,0
EE19_7016,0
EE19_7027,0
EE19_7036,30
EE19_7042,2
EE19_7062,0
EE19_7080,14
EE19_7081,8
EE19_7096,9
EE19_7097,25
EE19_7105,19
EE19_7118,0
EE19_7131,0
EE19_7139,0
EE19_7146,0
EE19_7148,0
EE19_7149,0
EE19_7154,9
EE19_7167,32
EE19_7172,0
EE19_7186,3
EE19_7302,22
EE19_7294,14
EE19_7323,6
EE19_7328,0
EE19_7337,0
