"Sample_ID","Sr8786break","SrVbreak"
"EE19_5009",560,600
"EE19_5017",600,600
"EE19_5026",720,720
"EE19_5028",560,0
"EE19_5030",600,0
"EE19_5034",600,600
"EE19_5035",560,560
"EE19_5037",560,440
"EE19_5038",520,520
"EE19_5041",520,440
"EE19_5042",640,640
"EE19_5043",560,560
"EE19_5045",520,520
"EE19_5046",520,480
"EE19_5047",600,600
"EE19_5059",520,560
"EE19_5060",560,560
"EE19_5061",640,640
"EE19_5065",560,560
"EE19_5067",680,680
"EE19_5070",560,560
"EE19_5074",640,640
"EE19_5075",520,360
"EE19_5081",520,480
"EE19_5086",560,600
"EE19_5088",600,600
"EE19_5089",600,600
"EE19_5092",640,640
"EE19_5106",440,0
"EE19_5108",560,440
"EE19_5120",560,520
"EE19_5121",560,560
"EE19_5124",680,680
"EE19_5133",560,560
"EE19_5139",600,600
"EE19_5140",560,480
"EE19_5146",520,400
"EE19_5152",640,640
"EE19_5154",480,400
"EE19_5157",560,520
"EE19_5159",560,560
"EE19_5162",600,560
"EE19_5164",520,520
"EE19_5168",520,480
"EE19_5174",520,520
"EE19_5179",480,560
"EE19_5197",560,360
"EE19_5202",520,520
"EE19_5226",560,560
"EE19_5237",600,560
"EE19_5269",680,320
"EE19_5289",520,520
"EE19_5295",640,640
"EE19_5315",520,600
"EE19_5317",560,560
"EE19_5322",520,520
"EE19_5323",520,520
"EE19_5327",640,600
"EE19_5334",440,440
"EE19_5336",600,560
"EE19_5342",560,560
"EE19_5352",560,440
"EE19_5395",560,560
"EE19_5397",560,480
"EE19_5403",560,520
"EE19_5405",600,480
"EE19_5412",560,560
"EE19_5418",600,560
"EE19_5430",600,560
"EE19_5434",320,440
"EE19_5450",520,520
"EE19_5477",640,760
"EE19_5483",560,600
"EE19_5495",680,640
"EE19_5502",560,600
"EE19_5505",600,560
"EE19_5512",560,560
"EE19_5528",680,720
"EE19_5546",600,600
"EE19_5567",600,640
"EE19_5592",520,560
"EE19_5637",600,560
"EE19_5668",640,480
"EE19_5674",560,560
"EE19_5682",560,560
"EE19_5685",600,640
"EE19_5693",520,520
"EE19_5701",560,560
"EE19_5706",560,600
"EE19_5707",480,520
"EE19_5716",480,480
"EE19_5739",560,560
"EE19_5743",600,600
"EE19_5756",520,0
"EE19_5757",400,600
"EE19_5767",640,640
"EE19_5771",520,520
"EE19_5785",360,560
"EE19_5798",560,560
"EE19_5801",520,520
"EE19_5805",480,480
"EE19_5809",560,560
"EE19_5816",600,640
"EE19_5837",600,600
"EE19_5853",560,560
"EE19_5884",360,560
"EE19_5889",680,400
"EE19_5893",560,480
"EE19_5912",560,560
"EE19_5987",320,320
"EE19_6000",480,440
"EE19_6037",600,440
"EE19_6051",480,520
"EE19_6062",520,520
"EE19_7016",640,640
"EE19_7020",560,560
"EE19_7027",720,720
"EE19_7028",400,400
"EE19_7036",600,600
"EE19_7041",560,560
"EE19_7042",640,640
"EE19_7044",480,480
"EE19_7062",600,600
"EE19_7071",600,560
"EE19_7073",680,640
"EE19_7080",640,480
"EE19_7081",640,600
"EE19_7082",680,520
"EE19_7085",600,560
"EE19_7087",560,560
"EE19_7096",560,520
"EE19_7097",720,720
"EE19_7105",640,640
"EE19_7118",560,520
"EE19_7121",520,520
"EE19_7126",480,520
"EE19_7131",520,560
"EE19_7139",720,720
"EE19_7144",480,480
"EE19_7146",520,400
"EE19_7148",560,600
"EE19_7149",600,640
"EE19_7154",600,600
"EE19_7163",520,480
"EE19_7167",560,480
"EE19_7172",560,360
"EE19_7186",320,600
"EE19_7279",720,680
"EE19_7294",600,600
"EE19_7302",640,640
"EE19_7323",560,520
"EE19_7328",480,400
"EE19_7335",600,600
"EE19_7337",560,560
"EE19_7345",560,560
"EE19_7348",600,600
"EE19_7351",520,520
"EE19_7384",480,440
"EE19_7402",560,520
"EE19_7410",560,600
"EE19_7428",480,480
"EE19_7555",560,560
"EE19_7572",520,520
"EE19_7601",680,440
"EE19_7658",640,640
"EE19_7683",600,600
"EE19_7704",520,520
"EE19_7739",440,440
"EE19_7850",560,480
"EE19_7851",640,640
"EE19_7864",560,560
"EE19_7876",600,600
"EE19_7922",600,560
"EE19_7929",560,560
"EE19_7948",600,600
"EE19_7955",560,520
"EE19_7972",480,440
"EE19_7981",520,480
"EE19_7991",680,680
"EE19_7993",480,480
"EE19_80113",440,400
"EE19_80115",560,480
"EE19_80117",640,640
"EE19_80127",720,760
"EE19_80128",520,480
"EE19_8013",320,520
"EE19_80146",680,680
"EE19_80148",600,600
"EE19_80149",640,640
"EE19_80161",520,480
"EE19_80178",600,480
"EE19_80228",640,640
"EE19_80229",520,520
"EE19_8027",560,520
"EE19_80339",520,520
"EE19_80362",640,600
"EE19_8042",640,640
"EE19_80496",600,600
"EE19_8051",720,720
"EE19_80535",560,400
"EE19_8059",320,560
"EE19_8060",560,560
"EE19_8082",560,480
"EE19_8084",520,520
"EE19_9008",520,520
"EE19_9076",520,520
"EE19_9085",640,600
"EE19_9086",640,640
"EE19_9103",600,600
"EE19_9116",640,640
"EE19_9122",360,600
"EE19_9131",400,360
"EE19_9148",600,560
"EE19_9198",560,560
"WR07-01",679.007,679.007
"WR07-02",510.793,690.793
"WR07-03",450,480
"WR07-04",654.677,872.051
"WR07-05",554.88,554.88
"WR07-06",660,600
"WR07-07",308.041,607.629
"WR07-08",480,480
"WR07-09",660,660
"WR07-10",617.097,680.328
"WR07-11",539.326,556.016
"WR07-12",629.27,629.27
"WR07-13",644.486,601.204
"WR07-14",583.959,583.959
"WR07-15",408.129,530.534
"WR07-16",521.684,521.684
"WR07-17",494.354,21.303
"WR07-18",544.059,544.059
"WR07-19",686.076,686.076
"WR07-20",540,540
"WR07-21",332.725,537.869
"WR07-23",498.749,498.749
"WR07-24",595.794,595.794
"WR07-25",474.742,588.355
"WR07-26",575.049,490.296
"WR07-27",656.32,656.32
"WR07-28",566.715,566.715
"WR07-29",640.146,666.126
"WR07-30",540,540
"WR08-01",330,558
"WR08-03",588,588
"WR08-04",661,661
"WR08-05",612,22
"WR08-06",467,648
"WR08-07",392,508
"WR08-08",588,644
"WR08-09",467,561
"WR08-10",547,491
"WR08-11",18,589
"WR08-12",627,567
"WR08-13",292,456
"WR08-14",634,634
"WR08-15",437,546
"WR08-16",527,475
"WR08-17",487,542
"WR08-18",462,621
"WR08-19",549,549
"WR08-20",567,454
"WR08-21",648,648
"WR08-22",426,426
"WR08-23",591,591
"WR08-24",536,536
"WR08-25",543,602
"WR08-26",561,561
"WR08-27",492,492
